i,encoding,dataset,selectivity,query_time
0,PLAIN,normal_200M_uint32.txt,0.001,1.36776
0,PLAIN,normal_200M_uint32.txt,0.01,1.72551
0,PLAIN,normal_200M_uint32.txt,0.05,1.77318
0,PLAIN,normal_200M_uint32.txt,0.1,1.77239
0,PLAIN,normal_200M_uint32.txt,1.0,1.80276
0,PLAIN,normal_200M_uint32.txt,10.0,2.71823
0,PLAIN,linear_200M_uint32.txt,0.001,1.35481
0,PLAIN,linear_200M_uint32.txt,0.01,1.72624
0,PLAIN,linear_200M_uint32.txt,0.05,1.779
0,PLAIN,linear_200M_uint32.txt,0.1,1.78648
0,PLAIN,linear_200M_uint32.txt,1.0,1.83318
0,PLAIN,linear_200M_uint32.txt,10.0,2.72074
0,PLAIN,books_200M_uint32.txt,0.001,1.44759
0,PLAIN,books_200M_uint32.txt,0.01,1.7152
0,PLAIN,books_200M_uint32.txt,0.05,1.7989
0,PLAIN,books_200M_uint32.txt,0.1,1.79884
0,PLAIN,books_200M_uint32.txt,1.0,1.8254
0,PLAIN,books_200M_uint32.txt,10.0,2.7297
0,PLAIN,ml_timestamp_200M.csv,0.001,2.09997
0,PLAIN,ml_timestamp_200M.csv,0.01,2.64272
0,PLAIN,ml_timestamp_200M.csv,0.05,2.72368
0,PLAIN,ml_timestamp_200M.csv,0.1,2.7372
0,PLAIN,ml_timestamp_200M.csv,1.0,2.79646
0,PLAIN,ml_timestamp_200M.csv,10.0,4.58814
0,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.89757
0,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,2.60493
0,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,2.68486
0,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,2.68376
0,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,2.74642
0,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,4.56193
0,DICT,normal_200M_uint32.txt,0.001,1.32577
0,DICT,normal_200M_uint32.txt,0.01,1.70278
0,DICT,normal_200M_uint32.txt,0.05,1.75416
0,DICT,normal_200M_uint32.txt,0.1,1.75216
0,DICT,normal_200M_uint32.txt,1.0,1.78721
0,DICT,normal_200M_uint32.txt,10.0,2.69071
0,DICT,linear_200M_uint32.txt,0.001,1.38576
0,DICT,linear_200M_uint32.txt,0.01,1.75464
0,DICT,linear_200M_uint32.txt,0.05,1.83453
0,DICT,linear_200M_uint32.txt,0.1,1.80884
0,DICT,linear_200M_uint32.txt,1.0,1.84035
0,DICT,linear_200M_uint32.txt,10.0,2.74223
0,DICT,books_200M_uint32.txt,0.001,1.47514
0,DICT,books_200M_uint32.txt,0.01,1.74757
